Group	Mass (avg)	m/z	RT (avg)	RSD (Mass, ppm)	Found	Missed	Height (med)	Volume (med)	 %RSD (MFE)	Score (MFE,max)	Area(med)	 %RSD (Tgt)	Score(Tgt, max)	Mass (med)	Ions(min)	Ions(max)	Time Segment	RT (med)	RT(span)	RT (max width)	Height(min)	Height (avg)	Height(max)	Volume(min)	Volume (avg)	Volume(max)	Area(min)	Area(avg)	Area(max)	Mass (Tgt)	RT (Tgt)	RT Diff	Name	Formula	CAS	HMDB	LMP	Ampicillin-r001	Ampicillin-r002	Ampicillin-r003	Ampicillin-r004	Ampicillin-r005	Splenda-r001	Splenda-r002	Splenda-r003	Splenda-r004	Splenda-r005	Germ Free-r001	Germ Free-r002	Germ Free-r003	Metronidazole-r001	Metronidazole-r002	Metronidazole-r003	Metronidazole-r004	Metronidazole-r005	Neomycin-r001	Neomycin-r002	Neomycin-r003	Neomycin-r004	Neomycin-r005	Pooled QC of all replicates-r001	Pooled QC of all replicates-r002	Pooled QC of all replicates-r003	Pooled QC of all replicates-r004	Pooled QC of all replicates-r005	Pooled QC of all replicates-r006	Pooled QC of all replicates-r007	Vancomycin-r001	Vancomycin-r002	Vancomycin-r003	Vancomycin-r004	Vancomycin-r005
1	103.0996	104.107	0.916	1.21	35	0	4501598	0	5.2	100	15310803	3.6	99.99	103.0996	2	3	1	0.916	0.018	0.118	807577	4212263	6609874	0	0	0	2146461	16899141	33439725	103.0996	0.917	-0.001						15271330.02	19446993.19	13384288.64	15155266.61	11766768.77	2753051.16	3544382.1	3128109.14	2519274.11	2146461.42	14334865.8	14265653.2	14542575.37	3870506.57	24794529.81	32510086.17	28632236.53	4488284.07	29328952.06	30671643.53	26027878.01	33439725.13	28079364.18	21852853.07	22387508.04	22000382.68	22169101.75	22334010.06	22285559.64	22307015.77	15310803.94	9773327.53	9815370.45	16490053.5	10641731.92
2	1486.9693	744.4922	10.708	0.92	35	0	2754524	0	0	100	11035937	0.9	99.72	1486.9693	5	6	1	10.706	0.024	0.168	232205	2610757	5093648	0	0	0	943701	10447796	20136868	1486.9703	10.704	0.002						11218803.58	9800295.98	16501570.97	10895705.69	5897028.72	10148768.39	18676441.04	3045926.6	13222506.82	1979790.71	12940814.24	6577275.48	17297391.51	943701.29	8665247.1	12544638.23	5803171.62	8134837.99	7030228.08	9166417.92	13598857.29	9964053.6	13509144.87	10662522.33	11035937.62	11385460.81	11538010.47	11805784.62	12011579.39	12191892.58	2723943.74	10584512.62	20136868.52	11870894.74	12162854.53
3	1442.9434	722.4791	10.727	0.91	35	0	2689116	0	0	100	10900708	0.8	99.87	1442.9434	5	6	1	10.725	0.024	0.174	228858	2542203	4940088	0	0	0	922235	10288815	20071045	1442.944	10.724	0.002						10940408.52	9676018.99	16132461.88	10799841.91	5861266.03	9896264.68	18351989.08	2992282.28	12939486.77	1928906.1	12668786.26	6368190.71	17128251.64	922235.45	8617408.18	12454899.65	5748103.22	7986395.83	6904643.88	9139970.92	13422624.68	9806775.38	13368415.21	10497723.79	10900708.13	11222482.16	11314388.05	11577405.08	11879101.9	11992631.31	2621520.61	10343637.23	20071045.68	11628593.5	12003667.85
4	1364.8648	700.4663	10.746	0.93	35	0	2589281	0	0	100	10954263	0.7	99.92	1364.8647	9	9	1	10.744	0.024	0.206	219411	2458823	4903520	0	0	0	911681	10413565	20898791	1364.8648	10.743	0.001						10916308.22	9673911.48	16501135.45	10954263.1	5859080.49	9856246.51	18799095.48	2900113.24	12991881.35	1889662.53	12867185.02	6215043.44	17754955.43	911681.06	8661242.42	12818534.42	5784679.04	8079111.78	6913427.51	9297305.19	13800054.4	9916355.04	13638959.52	10618223.74	10966276.03	11292649.77	11411329.71	11694780.12	11947102.77	12153244.4	2504054.14	10213703.18	20898791.35	11673462.79	12100950.86
5	1530.9961	766.5053	10.689	0.93	35	0	2431964	0	1.1	100	9905158	0.8	99.97	1530.9961	5	6	1	10.688	0.024	0.181	205381	2300634	4531466	0	0	0	841371	9378951	17480115	1530.9965	10.686	0.002						10126658.53	8822357.91	14928949.09	9730700.59	5276813.23	9181497.65	17057212.01	2708999.3	11887316.32	1765584.72	11624983.26	5954386.4	15637522.55	841371.36	7794740.87	11295175.93	5185824.42	7294367.86	6298699.26	8097025.73	12275519.42	8947239.79	12072285.99	9626958.45	9905158.63	10136715.07	10355936.22	10625671.89	10836423.69	11025966.48	2448169.26	9384203.35	17480115.47	10660602.67	10972149.59
6	1320.8383	678.4532	10.765	0.93	35	0	2287387	0	0	100	9665581	0.7	99.91	1320.8382	9	9	1	10.763	0.024	0.206	194616	2171984	4333796	0	0	0	822133	9192611	18432196	1320.8385	10.762	0.001						9472843.52	8514284.73	14559601.35	9753488.4	5238596.44	8516313.05	16644989.86	2507659.85	11308718.71	1642799.9	11263130.37	5230046.53	16100502.47	822133.04	7725206.59	11523483.76	5203147.6	7219877.03	6153530.05	8401547.29	12318661.57	8899717.45	12078171.31	9359471.53	9665581.8	9940784.75	10094277.17	10292233.08	10544186.83	10800630.21	2079573.39	8723777.89	18432196.85	10163138.74	10547092.93
7	495.3323	496.3398	10.089	0.88	35	0	1436114	0	8.8	100	5618902	0.6	99.85	495.3323	5	8	1	10.086	0.036	0.374	159460	1676011	5062223	0	0	0	622038	6571672	20505893	495.3325	10.092	-0.006						5433468.88	5211027.98	4795166.37	7282191.09	5174328.25	4469761.18	6804897.6	3269882.16	5618902.74	4153806.01	14720006.4	20505893.41	15884583.31	7430121.91	13423998.08	7076395.83	7948718.78	7104311.78	6912093.5	6553516.27	3092597.91	4442934.03	5742772.71	5415067.63	5539645	5598669.05	5711732.73	5838773.57	5861460.69	5930907.34	3868525.54	4688386.44	2528479.3	5353465.48	622038.48
8	113.0589	116.0707	0.983	0.78	35	0	3111132	0	10.5	100	9551918	7.4	99.81	113.0588	5	10	1	0.983	0.016	0.255	437275	2640831	4368291	0	0	0	1453389	8451319	14403939	113.0589	0.981	0.002						12804820.53	11600774.79	11784292.8	12232405.08	13605327.26	3530281.37	2672565.27	3441979	3196968.05	4122529.56	13674635.24	14260962.57	14403939.31	2931421.16	1453389.63	2456203.42	1808667.6	1812668.19	7514881.67	6875759.5	9551918.4	8357462.91	8099520.67	9415990.8	9547362.49	9733507.04	9597040.33	9689400.36	9769388.11	9666340.68	13250385.97	11706971.49	11424576.19	12940045.92	6861786.81
9	1276.8123	656.4408	10.785	0.9	35	0	1885823	0	3.4	100	7550806	0.7	99.95	1276.8124	8	8	1	10.782	0.025	0.174	169419	1791942	3536992	0	0	0	674508	7228034	14362854	1276.8123	10.782	0.001						7227654.14	6709338.49	11351386.88	7915386.11	4183361.26	6501106.16	12926082.76	1976986.17	8668306.9	1263077.15	8868939.62	3837394.18	13064162.32	674508.1	6203342.37	9350461.2	4251394.75	5842679.52	4941346.22	6783026.81	9864384.59	7228234.18	9420882.84	7340550.37	7550806.23	7814037.22	7928508.68	8077979.12	8292272.96	8468202.57	1515772.92	6493315.61	14362854.84	7908815.5	8174639.05
10	1575.0224	788.5148	10.671	1.26	35	0	2252585	0	3.5	100	9126697	1.7	99.19	1575.0227	6	6	1	10.669	0.024	0.174	183973	2132874	4248915	0	0	0	753892	8593841	15941571	1575.0225	10.668	0.001						9274626.12	8075361.85	13835781.9	8906766.45	4784816.57	8381144.89	15941571.35	2443492.24	11075496.5	1576608.64	10693564.88	5454538.77	14607763.49	753892.29	7120694.61	10396479.43	4674003.39	6662660.71	5733328.2	7307281.16	11305521.32	8202883.51	11124192.81	8808181.68	9126697.19	9137581.33	9551999.85	9723601.5	9992676.29	10117385.5	2197779.47	8415854.17	15512388.88	9811924.84	10055896.01
