"#Compound List: 9080 found, 1566 shown, filtered on MS/MS Count"
#
Show/Hide,Label,Mass,RT,Avg Mass,Height,Area,Ion Polarity,Base Peak,Z Count,Saturated,Algorithm,End,FV,Abund,MS/MS Count,File,Volume,Formula,Precursor,CE,m/z (Prod),Width,Max Z,Ions,Min Z,ID Source,ID Techniques Applied,Score,Start,Cpd,Name,Hit Count,CAS ID,HMP ID,KEGG ID,Lipid ID,METLIN ID,Swiss-Prot,Notes,Mass (Tgt),Diff (ppm),Score (Tgt),Flags (Tgt),Diff (mDa),RT (Tgt),Target Retention Time Difference,Score (Frag Coelution),FIs Conf.,FIs Conf. %,Score (Frag Ratio),FragMassDiff(ppm),FIs Eval.,Source,Flag Severity (Tgt),Vol %,Std Dev,Group,Cpds/Group,Score (MFE),Score (DB),Reference mass,Reference Retention Time,RT Diff,Hits (DB),Common Hit Count,Relative Reference Mass difference,Reference Mass difference
True,Cpd 14: 11.528,484.2817,11.528,,576667,2239917,Positive,502.3161,1,,Find by Formula,11.713,,106612,9,PQC_Prfrd opt Iterative-r001.d,,,502.3161,,,0.057,1,12,1,FBF,FBF,99.63,11.426,14,,1,,,,,,,,484.2822,-0.95,99.63,,-0.46,11.532,-0.004,,,,,,,,Pass,,,,,,,,,,,,,,
True,Cpd 18: 8.936,390.2787,8.936,,267633,893541,Positive,59.0602,1,,Find by Formula,9.127,,57788,9,PQC_Prfrd opt Iterative-r001.d,,,798.5878,,,0.051,1,11,1,FBF,FBF,99.58,8.857,18,,1,,,,,,,,390.2785,0.45,99.58,,0.17,8.948,-0.012,,,,,,,,Pass,,,,,,,,,,,,,,
True,Cpd 29: 12.156,636.2973,12.156,,691813,2382033,Positive,654.3316,1,,Find by Formula,12.44,,114479,9,PQC_Prfrd opt Iterative-r001.d,,,654.3316,,,0.053,1,9,1,FBF,FBF,99.73,12.068,29,,1,,,,,,,,636.2979,-0.89,99.73,,-0.57,12.157,-0.001,,,,,,,,Pass,,,,,,,,,,,,,,
True,Cpd 58: 7.642,406.2719,7.642,,51228,311311,Positive,943.526,1,,Find by Formula,7.842,,5794,9,PQC_Prfrd opt Iterative-r001.d,,,407.2792,,,0.087,1,6,1,FBF,FBF,91.52,7.545,58,,1,,,,,,,,406.2721,-0.41,91.52,,-0.17,7.653,-0.011,,,,,,,,Pass,,,,,,,,,,,,,,
True,Cpd 284: 11.315,622.4076,11.315,,39972,211236,Positive,59.0601,1,,Find by Formula,11.531,,1918,9,PQC_Prfrd opt Iterative-r001.d,,,623.4151,,,0.071,1,3,1,FBF,FBF,64.35,11.192,284,,1,,,,,,,,622.4074,0.21,64.35,low score,0.13,11.307,0.008,,,,,,,,Warning,,,,,,,,,,,,,,
True,Cpd 7: 10.093,495.3322,10.093,,463724,2466585,Positive,496.3397,1,,Find by Formula,10.334,,87296,9,PQC_Prfrd opt Iterative-r002.d,,,496.3397,,,0.078,1,5,1,FBF,FBF,99.87,9.998,7,,1,,,,,,,,495.3323,-0.23,99.87,,-0.11,10.089,0.004,,,,,,,,Pass,,,,,,,,,,,,,,
True,Cpd 8: 0.979,113.0587,0.979,,1310672,10182173,Positive,104.1069,1,,Find by Formula,1.541,,110886,9,PQC_Prfrd opt Iterative-r002.d,,,116.0705,,,0.046,1,7,1,FBF,FBF,80.43,0.922,8,,1,,,,,,,,113.0588,-1.76,80.43,,-0.2,0.983,-0.004,,,,,,,,Pass,,,,,,,,,,,,,,
True,Cpd 31: 1.689,136.0385,1.689,,273965,2313613,Positive,137.0458,1,,Find by Formula,2.154,,113363,9,PQC_Prfrd opt Iterative-r002.d,,,137.0458,,,0.111,1,7,1,FBF,FBF,91.72,1.555,31,,1,,,,,,,,136.0385,-0.29,91.72,,-0.04,1.697,-0.008,,,,,,,,Pass,,,,,,,,,,,,,,
True,Cpd 88: 1.002,504.1691,1.002,,167211,957938,Positive,104.1069,1,,Find by Formula,1.125,,48681,9,PQC_Prfrd opt Iterative-r002.d,,,522.2029,,,0.071,1,11,1,FBF,FBF,99.76,0.858,88,,1,,,,,,,,504.169,0.18,99.76,,0.09,0.999,0.003,,,,,,,,Pass,,,,,,,,,,,,,,
True,Cpd 93: 0.909,147.0533,0.909,,159539,705388,Positive,104.107,1,,Find by Formula,1.178,,59043,9,PQC_Prfrd opt Iterative-r002.d,,,148.0604,,,0.051,1,6,1,FBF,FBF,91.85,0.824,93,,1,,,,,,,,147.0533,-0.06,91.85,,-0.01,0.906,0.003,,,,,,,,Pass,,,,,,,,,,,,,,
