row ID,row m/z,row retention time,OMICS_MHAE003_icMERS_12HRS_1_Lipid_027_POS_7July17_Polaroid_HSST-T3-A923.mzML Peak area,OMICS_MHAE003_MOCK_12HRS_3_Lipid_037_POS_7July17_Polaroid_HSST-T3-A923.mzML Peak area,OMICS_MHAE003_icMERS_12HRS_4_Lipid_022_POS_7July17_Polaroid_HSST-T3-A923.mzML Peak area,OMICS_MHAE003_icMERS_0HRS_2_Lipid_007_POS_7July17_Polaroid_HSST-T3-A923.mzML Peak area,OMICS_MHAE003_MOCK_0HRS_1_Lipid_041_POS_7July17_Polaroid_HSST-T3-A923.mzML Peak area,OMICS_MHAE003_icMERS_48HRS_1_Lipid_013_POS_7July17_Polaroid_HSST-T3-A923.mzML Peak area,OMICS_MHAE003_icMERS_48HRS_2_Lipid_031_POS_7July17_Polaroid_HSST-T3-A923.mzML Peak area,OMICS_MHAE003_MOCK_0HRS_5_Lipid_002_POS_7July17_Polaroid_HSST-T3-A923.mzML Peak area,OMICS_MHAE003_MOCK_48HRS_1_Lipid_049_POS_7July17_Polaroid_HSST-T3-A923.mzML Peak area,OMICS_MHAE003_MOCK_0HRS_4_Lipid_005_POS_7July17_Polaroid_HSST-T3-A923.mzML Peak area,OMICS_MHAE003_MOCK_12HRS_2_Lipid_050_POS_7July17_Polaroid_HSST-T3-A923.mzML Peak area,OMICS_MHAE003_icMERS_36HRS_1_Lipid_053_POS_7July17_Polaroid_HSST-T3-A923.mzML Peak area,OMICS_MHAE003_icMERS_36HRS_4_Lipid_023_POS_7July17_Polaroid_HSST-T3-A923.mzML Peak area,OMICS_MHAE003_icMERS_24HRS_5_Lipid_004_POS_7July17_Polaroid_HSST-T3-A923.mzML Peak area,OMICS_MHAE003_icMERS_0HRS_4_Lipid_034_POS_7July17_Polaroid_HSST-T3-A923.mzML Peak area,OMICS_MHAE003_icMERS_0HRS_1_Lipid_057_POS_7July17_Polaroid_HSST-T3-A923.mzML Peak area,OMICS_MHAE003_icMERS_36HRS_2_Lipid_033_POS_7July17_Polaroid_HSST-T3-A923.mzML Peak area,OMICS_MHAE003_MOCK_24HRS_3_Lipid_040_POS_7July17_Polaroid_HSST-T3-A923.mzML Peak area,OMICS_MHAE003_MOCK_24HRS_2_Lipid_039_POS_7July17_Polaroid_HSST-T3-A923.mzML Peak area,OMICS_MHAE003_icMERS_48HRS_4_Lipid_035_POS_7July17_Polaroid_HSST-T3-A923.mzML Peak area,OMICS_MHAE003_MOCK_0HRS_2_Lipid_059_POS_7July17_Polaroid_HSST-T3-A923.mzML Peak area,OMICS_MHAE003_MOCK_36HRS_1_Lipid_009_POS_7July17_Polaroid_HSST-T3-A923.mzML Peak area,OMICS_MHAE003_icMERS_36HRS_3_Lipid_021_POS_7July17_Polaroid_HSST-T3-A923.mzML Peak area,OMICS_MHAE003_MOCK_48HRS_3_Lipid_014_POS_7July17_Polaroid_HSST-T3-A923.mzML Peak area,OMICS_MHAE003_MOCK_48HRS_2_Lipid_001_POS_7July17_Polaroid_HSST-T3-A923.mzML Peak area,OMICS_MHAE003_MOCK_12HRS_1_Lipid_038_POS_7July17_Polaroid_HSST-T3-A923.mzML Peak area,OMICS_MHAE003_icMERS_24HRS_3_Lipid_058_POS_7July17_Polaroid_HSST-T3-A923.mzML Peak area,OMICS_MHAE003_MOCK_36HRS_5_Lipid_003_POS_7July17_Polaroid_HSST-T3-A923.mzML Peak area,OMICS_MHAE003_MOCK_36HRS_4_Lipid_008_POS_7July17_Polaroid_HSST-T3-A923.mzML Peak area,OMICS_MHAE003_icMERS_12HRS_5_Lipid_055_POS_7July17_Polaroid_HSST-T3-A923.mzML Peak area,OMICS_MHAE003_MOCK_24HRS_4_Lipid_029_POS_7July17_Polaroid_HSST-T3-A923.mzML Peak area,OMICS_MHAE003_icMERS_36HRS_5_Lipid_045_POS_7July17_Polaroid_HSST-T3-A923.mzML Peak area,OMICS_MHAE003_icMERS_48HRS_3_Lipid_052_POS_7July17_Polaroid_HSST-T3-A923.mzML Peak area,OMICS_MHAE003_icMERS_0HRS_5_Lipid_015_POS_7July17_Polaroid_HSST-T3-A923.mzML Peak area,OMICS_MHAE003_icMERS_12HRS_2_Lipid_032_POS_7July17_Polaroid_HSST-T3-A923.mzML Peak area,OMICS_MHAE003_MOCK_48HRS_5_Lipid_046_POS_7July17_Polaroid_HSST-T3-A923.mzML Peak area,OMICS_MHAE003_MOCK_12HRS_5_Lipid_020_POS_7July17_Polaroid_HSST-T3-A923.mzML Peak area,OMICS_MHAE003_MOCK_48HRS_4_Lipid_010_POS_7July17_Polaroid_HSST-T3-A923.mzML Peak area,OMICS_MHAE003_icMERS_48HRS_5_Lipid_019_POS_7July17_Polaroid_HSST-T3-A923.mzML Peak area,OMICS_MHAE003_MOCK_24HRS_1_Lipid_044_POS_7July17_Polaroid_HSST-T3-A923.mzML Peak area,OMICS_MHAE003_icMERS_24HRS_1_Lipid_056_POS_7July17_Polaroid_HSST-T3-A923.mzML Peak area,OMICS_MHAE003_icMERS_24HRS_2_Lipid_025_POS_7July17_Polaroid_HSST-T3-A923.mzML Peak area,OMICS_MHAE003_icMERS_24HRS_4_Lipid_047_POS_7July17_Polaroid_HSST-T3-A923.mzML Peak area,OMICS_MHAE003_icMERS_12HRS_3_Lipid_028_POS_7July17_Polaroid_HSST-T3-A923.mzML Peak area,OMICS_MHAE003_MOCK_24HRS_5_Lipid_017_POS_7July17_Polaroid_HSST-T3-A923.mzML Peak area,OMICS_MHAE003_icMERS_0HRS_3_Lipid_016_POS_7July17_Polaroid_HSST-T3-A923.mzML Peak area,OMICS_MHAE003_MOCK_12HRS_4_Lipid_051_POS_7July17_Polaroid_HSST-T3-A923.mzML Peak area,OMICS_MHAE003_MOCK_36HRS_3_Lipid_011_POS_7July17_Polaroid_HSST-T3-A923.mzML Peak area,OMICS_MHAE003_MOCK_36HRS_2_Lipid_043_POS_7July17_Polaroid_HSST-T3-A923.mzML Peak area,OMICS_MHAE003_MOCK_0HRS_3_Lipid_026_POS_7July17_Polaroid_HSST-T3-A923.mzML Peak area,
4,612.1784213630913,59.3313230272109,6.071009733513594E7,4553178.402388881,2.9120806847115874E7,1.7947006411514178E7,3275146.4006245025,2.182839805089116E7,3.4925896174851194E7,4.276720661301022E7,1.791551574119159E7,4.8503763013774194E7,5.1118219728699416E7,4.7737352568063475E7,4.083348643624925E7,0,2000446.2967304438,1.1372541890901726E7,3313396.4723641207,5315068.710608615,3.784995219890968E7,3.1015677573910728E7,1.0935233724708408E7,6.975099960821643E7,2.336616929134345E7,5.33292523692765E7,3.2253805735201556E7,3.461644483773987E7,5.7524632765192725E7,2.757047977819019E7,5.394218846761555E7,1.155086468425161E7,3.0953169097495526E7,4.017305851863013E7,4401401.489645063,1.9615379165334404E7,3.4667049595890336E7,1.0834362494912406E7,6.417881324599474E7,5.856447568909688E7,7.456373154509312E7,3.4323631784261875E7,5.573927721851153E7,6.276889323375769E7,3.979462557105297E7,6.3074544418992944E7,6.380910738338725E7,4.002830863098864E7,3.4826195298355244E7,7.40331997604271E7,2.8349405940807477E7,8.536765576092707E7,
9,763.7985657382568,55.754133298611094,2.6857546637381192E7,9410974.394717285,8768794.023559388,7661627.372995272,1.1484304835819572E7,0,4.473302870330522E7,4.222825303879066E7,1.497164597577962E7,4.121849252316074E7,2.4012041900779847E7,7.457224948439582E7,6708686.269177628,6396148.07746135,8212112.731911538,9678035.505343877,8660128.689563038,9670580.961359035,3.1463898599718694E7,2.3829933357424904E7,7122595.066825191,4.8021059134667635E7,1.25819962507744E7,4.61286833457166E7,2.373365022495091E7,4.919367152739546E7,4.7749600258495934E7,2.889121043159855E7,6.529400909458676E7,6947847.89222065,9054311.993900359,7.208404598398747E7,4.848853794575955E7,6825047.572422253,7.50506420782228E7,1.050677610146952E7,5.3406889765102945E7,0,4.3258092880724385E7,5.159680799758324E7,7.20330228549307E7,8.4452671797049E7,6.981614939133263E7,3.671264800058801E7,6.718719189653432E7,3.921591931785951E7,5.46148035046258E7,8.493360500953275E7,5.776976976390344E7,6.912133394376224E7,
10,327.07713997628144,59.58804493055558,2.7563036071152367E7,1.8167784440391097E7,1.719435871954681E7,1.201388070033016E7,1.4930733676158506E7,1.5695145920034831E7,0,0,1.626551304142314E7,2.9875598418990783E7,3.073821433469262E7,0,1.3528598858914156E7,0,1.3962031875433894E7,0,1.1793142166814266E7,1.3147196587921405E7,2.392032149557694E7,2.46634681676061E7,1.9082018585139688E7,0,0,0,0,0,0,0,0,1.21046599650806E7,3.0341246413292103E7,3.048859062908453E7,0,1.3442225598451808E7,0,0,0,2.489124664771674E7,0,3.041932824216925E7,0,0,0,2.954485643010876E7,0,0,0,3.7512411730134286E7,0,0,
14,1409.0068898179486,59.60339122807009,2.7447792929346543E7,0,3.729666349018745E7,0,3.5465159428022996E7,3.1065561204586454E7,0,0,0,0,4.853949579233763E7,0,3.7701992811046466E7,0,2.9380542275297686E7,0,0,0,3.2852853479243778E7,3.23211540111266E7,3.804540296388853E7,0,0,4.906979778768442E7,3.1446634452056825E7,0,0,0,0,0,5.071824609266307E7,0,0,0,0,2.761082760967309E7,0,4.633940698663216E7,4.11260288401449E7,4.3749357609224685E7,0,0,0,5.3133304066203825E7,0,0,5.0815013582378745E7,0,0,0,
15,281.0501797040119,56.23756644736836,2.3581393547409974E7,0,2.27333889374662E7,1.4578464019879157E7,1136433.113604888,1.54450460164705E7,0,0,9667797.692328768,2260439.7562839612,1.0339550517302888E7,5816076.853013463,8457369.969303032,0,1616241.4068151244,7279822.3772769645,0,1279530.1200814596,0,0,7012559.410266996,0,1.6301634357771635E7,6057969.578812875,0,3556619.6451645424,1.928645020087268E7,0,1.1757694955116915E7,3788246.078566067,5512771.282643536,7856791.68534333,6021842.03073791,1.5261155629114177E7,0,8343607.432662938,1.4495483591884628E7,1.0416873170684464E7,1.9885195439865876E7,5841589.347311092,9944628.826931251,1.8228526656358555E7,4288613.3735218905,0,1.8672195465611085E7,1.0090982202911342E7,4529694.661902472,2.0971768483723406E7,3471103.5124903354,2.816447157102092E7,
16,383.13954521907414,59.59176696428572,2.562577216276162E7,1.6359947498337924E7,1.7229544124373626E7,1.3472993687818969E7,1.290028455387274E7,1.4855216020633403E7,0,0,0,2.806183777438739E7,2.847073086838819E7,0,1.4756712833016753E7,0,1.4463278045451613E7,1.6176429601401707E7,1.1741385510638362E7,1.2170696364165781E7,0,2.2516827951663733E7,1.7941512102890197E7,0,0,3.446325234515852E7,1.867751599762788E7,0,0,0,0,1.2993718424749626E7,3.253410160524441E7,2.909625848153366E7,0,1.318529750075363E7,0,0,0,2.429396124172225E7,3.220660280292152E7,0,0,0,3.2329944426252082E7,3.0385172370490707E7,0,2.9458643904613916E7,3.31160425620014E7,0,2.988791486989974E7,0,
17,707.736546366621,52.74414883720926,2.464138245607753E7,7967709.054362914,7961669.385397196,7962499.364284664,1.041704619617931E7,9424569.09417977,4.22790909709522E7,3.65688650815501E7,1.6055796757206244E7,3.715900769952908E7,2.473396088304907E7,6.788891138295372E7,8386005.989932404,0,7889243.845007131,8272076.077106846,9648742.277843222,0,3.009681514444319E7,2.444568768178732E7,0,4.360150858621594E7,1.441454645667743E7,4.655911210478934E7,0,0,4.1949526776769914E7,0,4.9281358707101814E7,6889946.1193699725,3.996011866859266E7,6.276147263382226E7,4.920557158800557E7,5847396.973650541,5.55621877586295E7,1.104475344716629E7,4.123045316270066E7,0,4.992074125375076E7,5.1471780440713786E7,5.9795251027451076E7,6.107805106607565E7,5.998846322501113E7,3.5348971207821205E7,5.6086334783090845E7,3.7091389560251474E7,4.360134340160929E7,5.962328180054794E7,4.864924068488309E7,4.8419560140871614E7,
19,369.3506830920512,52.49217824074072,1.5459721180111006E7,4.858316309666029E7,3.8710965499108285E7,0,8.193382104150294E7,0,0,1088917.268654313,0,0,5.8146633891987965E7,0,5.208658696481521E7,0,5.89018889145751E7,7.943070112420939E7,0,6.2316979048807286E7,0,0,7.84290810347861E7,0,4.832615068861466E7,0,0,0,0,0,888736.0075536243,5.928473966028312E7,5.99592922846087E7,0,0,0,0,0,2.9743649286840614E7,0,0,0,0,0,0,0,0,0,0,1.1925015133674659E7,0,3.2702940557995174E7,
22,679.7055974984387,48.08201617283945,2.1191529122702748E7,6207357.084418029,9638204.479538523,7156985.762632058,1.0976687044375446E7,8730784.985538792,0,0,1.2024192095058437E7,6.2467102573259585E7,4.544413346764789E7,0,6090588.725299812,0,4954679.024331801,7668780.056547187,5646981.155582321,8269488.8569069225,0,0,9837477.291896973,7.741495950817129E7,8739418.956472613,4.8302252804670736E7,0,0,0,0,0,6040230.020207208,0,0,0,6647258.414718901,0,7855210.608544872,8.467466973342879E7,3.981994823902466E7,0,0,0,1.0929472771698192E8,0,0,1.1519512818234839E8,6.917265342854403E7,0,0,7.013529126849595E7,0,
25,732.6140574041428,66.26354715053762,1.9989691030533895E7,2215229.3872648343,2337395.7768712863,3370830.642195463,0,5318395.7417756505,7.580841360559896E7,0,4621105.8785653,0,0,0,5430111.358312624,3417414.2619013526,1589470.7404304184,1716825.45053206,0,0,2.3389920515609235E7,1.7633161415370476E7,0,2.0078803048668653E7,4996737.034442091,0,0,0,2.0960924907921966E7,1.2207514574953873E7,0,3666821.8840686446,5.8534879664299324E7,0,0,3086462.5532111195,0,0,2.621987979470277E7,2.1571951500616886E7,0,0,4.647885705969589E7,4.249730067070448E7,5.472054829340784E7,1.706232400494635E7,0,6.727723477848363E7,4.1231351868992545E7,2.4847904386162363E7,6.571040522643516E7,1.882967305661483E7,
